Username,Comment
bobbyozzieamozsaputra,"tidak usah bertele"" bung,berapa TON yang lewat semalam?"
xhin_but,berapa ton yg lewat 🗿
rachelmentari6,masak mati lampu dari magrib sampe ke magrib lagi belum hidup” lampunya sampe skrg
hamzahsitanggang,Berapa tun yang lewat😂
candamu956,"gk mau maafin,gk jadi sleepcall😭"
nabilprimatsn3,23 jam mati lampu rugi 1 m PT ku
ell_barco,kenapa ga di tanam aja biar aman kabel nya
muhammadridwans871,banyak cerita
whyybizzzzz,semalam kelaparan aku pak ngak makan Nasi kami 1 hari' semalam
user6702521542003,Riau sudah normal
storm_chase453,[Stiker] batre abis+gelap+gak ada sinyal+mati lampu+hidup lama+gak bisa ngecas
nmax.black21,maaf nanya baru tau apa nya berapa ton yg masuk?😭
pavskyjoe,mundur
asrul5374,"maaaf lagi,
klo kami masyarakat telat bayar,
apa bisa minta maaf.?
biasanya dapat surat peringatan."
bendahara1_ak15,Ap itu mff
sitorus0322,PLN lagi buat PR untuk KPK
alfarisieeeee,wee tempat aku belom idopp😭
riosano_,"Hadehhh. Listrik padam, tapi tagihan tetap gede 🤣🤣"
iq_bal234,berapa ton masuk barang tuh
pasukansenyap760,"sering' juga gak papa pak, biar yg pacaran gak bisa sleep call 😂😂"
angnown7,"satu sumatera satu jalur kah? cuman nanyak ini lohhh.
bungo dan rumbai posisi ditengah, aceh dan palembang ujung barat dan ujung timur sumatera.
sumber utama listrik sumatera darimana ya kira""?"
xyz.zellynn,barusan di riau mati lampu lagi 😭
masboo84,kompensasi 20% bisa lah di maafin selama 2 bulan pak
desinadiawatii,maaf dri hati jgn baca buku
irianianii1,"ya masak semua sama kn lain wilayah regional nya
ko bisa serentak ya ?"
kamelsaputra96,cair bos
alikasari24,kami udah hidup bang sumut di Deli Serdang
olivxjn_,"ga nyenyak bgt tidur gua malam , serasa dihantui"
saed.muchlis,PLN cuma tau minta maaf bgmna dgn kerugian masyarakat
devijwleks,gakusa mnta maaf pak.klu km telat byr apa bpk maafkan.
aganboyy,"woi PLN jangenam, hidupkan lahh dari 18.00 sampek siang ini belum hidup jugaaa ampun kalii"
ridho_putrabae,disini udahh hidupp jangan kau padam kann lagii yaaa
upinsamaipinz,jangan mati Pak❓ saya belajar untuk kuliah pak listrik biar terang kami pak❓ Mohon
hantu_semalam,Kalau nunggak listrik ga bisa minta maaf ya.
ganzz.loh.ya,betre gw Tinggal 5 anj😹
jarrsvx,BATRE GW SISA 1% WOI NAPA BELUM NYALA INI LISTRIKNYA 😭
sudadi.sudadi10,maaf Bae giliran lambat bayar di pintu ole orang PLN Ida adil
fikriii2oo7,yg baru idup jam 5 sore tadi
papasephine,"sekelas skala rumah saja, bisa ada rencana cadangan jika listrik mati...kalian sekelas BUMN tanpa pesaing masak gk bs punya rencana dan langkah strategis, padahal tidak ada bencana alam"
urfav.cacaa44,[Stiker] ga dimaafin gara² pln nih gw kaga vc sama ayang
raes_2gd,KLO kami telat bayar listrik kami minta maaf juga ya
iri.ajaa,"dimaafin,tpi jngn di ulangin ya🙂"
andi_base,"telat bayar cabut, ga isi token padam
giliran begini mhon maaf atas ketidak nyaman ini"
ayhah_chomell,"Di pekanbaru sekarang ini padam lg,dan masih padam sampai saat ini,"
s_g100808,jam berapa nyalanya weh gw dah tidur soalnya🗿
imam.kusnodin,sebagai tanda maaf semu pelanggan PLN diberikan diskon 50 persen ya ketua
isan6512,"maaf aja gk cukup broo,
kalau dijepang menteri ny udah malu dan mundur"
hambaliabubakar26,"AKU BIASANYA TDR JAM 7, SEMALAM AKU BATRE HP KU HABIS JAM 2,.. 5 jam aku natap genteng… GADA MAAF MAAF"
muhar2008,"lbh bijaksana jika anda mundur,minta maaf bukan lah bentuk tanggung jawab...."
aisstore62,"aku males nonton nya sampai habis, singkat saja.. apa kompensasi dari kalian?"
ahmadardiansyahpu,tempatku dari jam 7 malam sampe sekarang😌
lalaa_0305,"koncet, sampe skrg belum idup lampu drmhku"
bbellybless,dari jam 6 magrib ampe jam 11 siang
abinfatih,enak aja maaf kasilah konpensasinya. telat bayar denda n putus
rmzikri.02,"PAK DIRUT"" MOHON MAAF..KALIAN SEMUA SUDAH KAMI TERIMA DGN SENANG HATI.👍👍
KAMI RAKYAT SUMBAR TOLONG YA PAK DI GENTI KE RUGIAN KAMI SLMA LISTRIK PADAM..????????"
andrewwyamin,minta maaf ga bikin lampu nyala bos
zhazh03,dah mati lampu lagi pak . . baru hidup td pagi . . ni dah mati lagi
kkkokekab,[Stiker] BARU IDUP LAMPU DI DAERAH KU
menantikanramadhan,"singkat saja, berapa ton yang masuk?"
nonaeudora1,"gak ku maafin😭,aku selaku pedagang kaki 5 yg punya stok buah frozen durian 50kg udh lunak smpai skrg asam,rugi ya allah plus frezer box ku rusak di buatny😭 modal di sna smua"
amrinpane09,cuma minta maaf doank. bentuk tanggung jawab nya apa.
gaberonaibaho1,gangguan serentak se p Sumatra gtu?
sitifatimah13_12,Gara2 bpk anak saya gk bisa tidur karna kepanasan 😒jadi gagal deh proyek sama paksu🫠
monaa479,"pak aku sampai harus beli es batu buat ngejaga jualan ku dlm frezer,gantiin pak😳 8ribu"
roni_martin699,apakah dengan kejadian ini PLN di tuntut untuk memberikan kompensasi bagi masyarakat yg terdampak.
naa.simatupang,Ada yg Bisa kasih intinya gak? Males dengar lambat kali ngomong nya😭
mezxr,melakukan berbagai waktu hidupnya jam 02.00 malam
call_me854,Dri jam 19.00 baru hidup jam 10.30 gila bgt gk tuhhh🥺
m3712845,"Pak Kami blm hidup lampu Dari jam 7 malam sampe skrg😭 bayiku ga bisa bobok td mlm, sampe skrg juga blm Mandi ni pak😭"
heruangka714,"APALAH ARTI SEBUAH MAAF DAN APALAH ARTI MAAF SORANG KONSUMEN, KITA INI JELUAL BELI MAAF MI GAK ADA GUNANYA, KALAU KAMI TELAT BAYAR BISA GAK KAMI MINTA MAAF KALAU TELAT?????"
tululullluuuuu,nih medan sunggal mati lagi dri jam 09.58 smpek skrng woila
24mei_gemini,njir rumahku 24 jam Bru hidup bayangkan woi bayangkan 😳😳😳
ivona_81,ini mati lampu lagi dari jam 12 ya ampun😭
mat.ch4lovers,[Stiker] gmau maafin.
pesertappg04996,Tolak minta maaf ganti rugi
rexyega27,18.44 s/d 04.25 dini hari baru hidup😂
user286136751,sampe sekarang Mabar Marelan martubung listrik TDK hidup
sarpanputra,"harus tetap berfikir positif,semoga jaringan listrik cepat pulih kembali dan para petugas pln di beri kekuatan dan keselamatan dalam menjalankan tugas nya..."
d.wulaann,Lampung ga kau sebut pak? anak ku rewel pak gabisa tidur astaghfirullah
mokazy11,udh brp kali blackout ini di Sumatra 😭
phael_pandia,hidupkan lampu rumahku bujang
bani.haqqa,"koncett
panaassssss ini
di kantor PLN kenapa ada arus"
wiuwiuwiwp,"HARUSNYA GERCEP DONG KALO ADA GANGGUAN, INI UDAH 2hari LOH"
gianajaa2,"pak secepatnya nya pak
mau berak gak ada air pak"
adekrizky02,"maaf pak , apa gak ada kompensasi buat kami selama 26 jam kita mati lampu, dan kami belum mandi dan diguyur keringat semalaman , bukan nanti pembayaran kita bisa kurang malah bisa naik nanti tagihan"
bg_ilul,kompensasinya apa....?? kami pengusaha rugi alat elektronik rusak.
andhika7666,kacau min tauge ku ke habisan air bongkaran 2 hari ke depan gk tau ni kabr nya
jery_sembiring,yang LDR udah putus ni mah
sconezieathernal,[Stiker] ak ga bisa marah bapak gw pln juga
hafizzznieee_,mati lampu lagi jam 11 baru hidup😭
fitridelfi35,"Aku gak bisa tidur pak, sampe jam 1 malem😭"
bg.nda20,mati lampu lagi
jalin.speed,kok hanya permohonan maaf basi pak... 😂😂😂
istrikadees,dari jam 18.44 jam 03.24 baru idup
enefje.girl,"ga mau maafin, ga bisa begerak aku, gelap, panas, gada sinyal, dari jam 18.44 sampe jam 13.05 baru hidup apa ga koncet kali wak"
noana.kellyharsey,lagi push ml malah mati lampu😭
mfthljnh197,"geloooo, mati lampu dari abis maghrib sampe set 12 malem. ga gue maafin yeee😭😭😭 nangis bgtttttt"
mushimushiroom,"kompensasi dong, bnyak yg terdampak . misal sebulan gratis listrik"
etalasedindaa,"dan sekarang:
Sabtu,23 mei 2026, pukul 11.41 Listrik mulai Padam lagi"
apodekkau,gamau suudzon tpi btw lagi ada muatan ya pak? kira” barang masuk nya berupa apa nih pak? lolos brp ton pak?
arfana.ll.silalah,"kalian tau knpaa ,,,itu untuk me-restart ulang meteran masing setiap rumah,,dan ini ada kepentingan pemerintah ,,,dan otomatis meteran yang kena subsidi itu di normalkan lagi seperti semula,sehingga tidak mendapat subsidi lagi,sampai sini paham ya"
marlia_ganda,"cuaca buruk apaan, hujan ajah pun GK ada, panas pol di riau"
tujuhbeyas,"iya yaudah dimaafin,tapi janji jangan diulangin yaa?"
deviibby,"ngatasi gni aja lamaa bgt anjir
mna Ldr sm pacal aku, cptt laaa hdup kan😭😭😭"
ayah31031,"Gara2 mati listrik mendadak dan lama, bnyk pasangan yg saling tuduh gr2 gk bs sleepcall 😂"
silllaaaauuuuu,MASA’ MINTA MAAF AJA PAK? GAK ADA KOMPENSASI ????
im_nemoo,"[Stiker] singkat saja, berapa ton yg lewat saat mati lampu"
an0thrciw,kost ak blum idup lek sumpa
sweetly_vaa,"@gitaaaaaaaaa: gamau maafin, aku gabisa hidup tanpa kipas dan wifi"
msmsjehbrgjjeiejrj,lama lagi ngga pak? dah pening ini ngga ada air
feldiarman,"ada baiknya juga mati lampu, dirumah serasa keluarga cemara, duduk ngumpul di beranda rumah, sambil melihat pemandangan langit yg cerah nan indah bulan sabit, ngobrol dan bersenda gurau😂"
reza_zaaa13,ngomong aja lama
mariasomutzz,"keterlaluan tpi sich PLN, gk bsa dimaafin disini (deli Serdang) dari 18.45 sampe ini 12.41 blm nyala. setidak nya nyalahin bbrp jam klw nnti mau matikan lgi gpp setidak nya kami udah mandi udah isi air kamar mandi"
badaidangelombang.00,wkwkwwk
tahpe8,"minta maaf pakai kata""
minta maaf gratiskan berapa bulan pembayaran lah boss"
tamroky,kalau bisa setia propinsi aja di buat pembangkit ny. jd tdk semua padam
bbellooovedd,PAK HIDUPIN LAMPU PLIS.
ewisjuliantyr,"Nah giliran kita telat isi token atau telat bayar listrik, udah minta maaf masih juga diputus"
asepp1373,[Stiker] Gara2 pln gua gk bisa vc sama ayang
arisarihwhatever,Berapa ton ya kira2?
stoic_my,tebak berapa ton
lusy_ls,Ini barang masuk apa keluar pak?? Bertanya dengan nada lembut😇
anakjahat419,kami seluruh rakyat Sumatra sudah memaafkan
mieayam.152,"di vt lain ada yang komen gini ""udah masuk berapa ton tuh"""
christeen978,anehnya siang nyala weee...malam malah dimatikan berjam jam
bong04866,"tapi rada aneh aj sih,kok jam 10 malem mobil""gede udah pada keluar yah🗿"
nadiacuu._,"ga dimaafin, gara' lu yh pln aing ga bisa main epep"
derra757,"idop kan aja dulu di binje ni, dr jam 6 sore sampai sekarang blom juga idop"
kulub.hytam,woyy disini masih mati lampu🗿
anak_ni_pangula,"gak apa2 pak pln,
gangguan ini membuat saya sadar betapa bergantungnya saya sama listrik, dan juga buat saya sadar bahwa saya sudah 30 tahun menikmati listrik, bagi saya mati 1 hari tidak lah berarti apa2. semangat"
aras.napari,kata maaf nya diganti gratis biaya listris selama 1 preode pemilihan
alvints5,kami di sumatera masih mandi di sunge kok
jarzx_15,"tidak semudah itu bro, tidur panas keringetan lu kira enak🗿😭"
marki.cob,Maaaf?? Diskon la dulu listrik ituuuu baru maaf
joepartyoe,kami juga mohon maaf bulan depan gak bisa bayar listrik karena produk kami gak terjual karena listrik mampus
aauliaa16,bisa gak pak minta maafnya ada angpaonya🙃?
darksness07,"aduh pak,, semalam saya ga mandi wajib karena bapak. Aer abis.. 😭😭😭,, akhirnya bau pandan dah badan ini .. 🥵"
thawilde,gaperlu minta maaf kami maunya listrik nyala woy! Dari semalam abis maghrib ampe jam 15.07 saat ini aku komen blm juga nyala. nyari sinyal pun mesti jd musafir jalan2 dulu
fathirsitompul7,jujur ajalah udah 100 ton yg masuk kan?
ariez_679,berapa ton yg lewat pak
__orlando1310,kalau ada yang telat bayar tagihan listrik apa boleh minta maaf juga ?
stayhumble77777,"iya, dimaafin!!! santai aja pak....
namanya mesin pasti ada trouble nya... klo sekali2 ya gpplah... di maklumin🙏🙏🙏"
gacoan1505,"PLN said:
dari matinya lampu satu pulau Sumatra kita belajar bahwa masa yang dulu bisa terulang
kembali seperti kenangan
semua hal yang pernah kita lalui2, seperti bermain tanpa menggunakan hp"
manru_555,"Se ingat ku baru ini se sumatra mati lampu,jaman semakin canggih tp makin bobrok"
mitamitasari93,"Maaf gk cukup, rugi tauk pak kalian gk ngerasain 6 jam lama banget gk bisa tidur"
lavecchia_signora,"dalam 1 malam berasa balik lagi ke jaman 80/90an ,kmpul tanpa gadget 😂😍"
justiyaa_,"TIDUR KU GA NYENYAKK YAAA TOLONG TD MALAM,PANAS, BANYAK NYAMUK, SUMUK"
anaknyapakguru03,2 kata lucu dari PLN “Minta Maaf”
ank.ke441,"gmau maafin, krna hp gua udh lobet parahh agrhh, mati lampu ampe 2×"
meirinda171,"Udah yah pak, bayiku baru 7 hari umurnya. mati lampu dari magrib sampe jam 6 pagi baru nyala 😭"
blue_0005,"ada ga sih listrik yang dari swasta? , bayar mahal juga gapapa asalkan ga di pln ini, banyak kali maslah nya"
maybeemaybeee9,"kami telat bayar nanti ya,maaf pak blom ada duitnya🥰"
thishopiyaaa,apa kompensasi nya? ini kesalahan harusnya HARUSNYA memberi kompensasi terhadap setiap rumah dan daerah yang terkena blackout
12345yybb,2jam katanya kami dari jam 3 sore baru nyala jam 12 siang hampir 24jam😭
tika_wolfenshire,"[Stiker] gk mau maafin, soalnya mati lampu nya pas aku MANDII yakkkkk"
cndyartk0,"gkmau maafin ah, ngantuk aku kerja grgr gabisa tdr karna kepanasan😭"
asyuuuuu01,barang sudah mendarat dengan mulus🥰
mryuu12_,Cpt oi gue berak gakada aer nya terpaksa pake aqua awokawok
leo.candra25,"dari Semalam Jam 18.30 sampai Sekarang Jam 11.22 ngk Nyalah"" 🥲"
mairacell23,mati lampu..jaringan telkok dan exis pun gak ada jaringan
mr.lonelyy._y,singkat saja berapa ton yang lewat tadi malam ?
cilaa.986,"mantap pak, disini rumah saya kelap kelip💜kayak lagi disco💜"
ginija0,Aturan ada kompensasi dong pak kami bayar listrik telat aja kena denda
hazelnuticecoffee__,lah tempat aku dari jam 7 sampai 6 pagi
nopi_a18,Pakk ASIP ku harus terbuang karna 15 jam mati lampu nangis bgt😭😭😭😭
user2863864801754,dari JAM 19:00 MALAM SAMPAI JAM 18:00 SORE INI LISTRIK MASIH PADAM SEKALI LAGI MASIH PADAM SEDANG KAN KEBUTUHAN LISTRIK UNTUK SEHARI-HARI PENTING.
pendongen.g,"jangan cuma minta maaf pak,tp undur dirilah"
chocomellon24,marendal sampe ada yg jual air 😭
21_.tuan,"Listrik bayar terus, tpi rugi teros"
wnt.jack97,"maaf itu penting tapi tanggung jawab lah ganti rugi orang udah byar tapi kinerja kalian ga jelas
TANGGUNG JAWAB jngn cuma maaf"
mycasperboy,"kasih bonus dlm bentuk tambahin pulsa token dikit pak,gitu baru keren"
rebahanbentar_,Hampir 7 jam pakkkkkkkk sampe banyak yang ku pikirin Pak selama nunggu hidup 😂
suka.ku999,Sudah 17 jam padamm !!!
candrairwan08,apa kompensasi yg didapat dari masalah ini pak ?? krn kalo kami telat bayar ada sanksi yg didapat
slbaukkk34,malah minta maaf aku tadi malam gak bisa tidur Sampek jam 5 subuh
topeng.hokage24,"to the point aja pak , ga usah ribet puyeng aku dengarnya , barang apa aja yang masuk pak , bagi bagi dong"
trriifit,Posisiku Td malam udh kayak di film horor pulang kerja hujan deres dan mati lampu 😳
suciharahap12_,yangg nonton Sabtu gw fb
soonbeur.bf,"Halah, ga ada kompensasi, terlebih ada yg janggal juga sama listrik ini, gw daerah Banten pemakaian listrik masih sama seperti 2 bulan yg lalu tercatat di PLN mobile pemakaian rata rata 165 kWh, tapi bulan ini bisa bisanya melonjak jadi 256 kWh. anomali anjir, ga ada penambahan alat listrik tapi pemakaian bertambah"
ga.jor.z,"pak, sampai sekarang jam 14:09 Medan Masi belum hidup lampu pakk😌😌😌"
aryy6092,Halah pak gpp nya kayak sama siapa aja🗿
rwwwwaw,"singkat saja kami ga butuh minta maaf, kami butuh kebesaran hati anda untuk mengundurkan diri 🤗🥰"
sugiem29,"sbnrnya gpp si tpi kesian anak aku klo panas dia ngamuk ngamuk🥺
padahal udh di kipasin pake kardus😭"
srimulyadi.napitu,teruntuk Dirut PLN harus ada dong kompensasi untuk masyarakat jangan hanya meminta maaf saja. trimakasih
meongzein,Kota Medan dini hari siang baru ada 50% aja yg ada listrik nya🙄
ayusetiasih22,Di desaku baru idup pagi tadi jam 7 an
nyzz__0,"enak aja cuma minta maaf , kompensasi nyaa apa woooyyyy
dari jam 18.44 dan jam 12 siang baru hiduppp 😤"
spoiler7726,"kimak lah aku GK kerja krna GK ada batrai hp woi, hilang gaji ku satu hari ini"
jviary,"maaf maaf mulu, kasih kompensasi lah satt"
..fira43,awak menderita. direktur PLN mintak maaf
nani_dewi,gara gara bapak saya sampai beli power bank baru 3rsan pak 😭 pdhal uangnya mau buat bayar kontrakan
rindaaudinasnrt,kulkas saya jd rusak bgsttt! minimal dikasih tau dulu sebelum pemadaman lama!!!
bunnana753,ga cukup maaf aja ganti rugi.
tetty.parapat,bayar listrik bulan depan diskon yah
anakparjalang.92,JUJUR DAN TERBUKA ITU LEBIH BAIK..
zsnaline,gk di maapin.
empolcamry,"telat bayar kena putus, telat bayar kena denda, gangguan kelistrikan minta maap"
misrizal29,"harus ada hitungan yg jelas, contoh permintaan mf itu diiringi dgn diskon, itu baru jelas dan ada rasa tanggungjawab"
siapa.saya940,"sesudah minta maap,mundur aja lek,"
vanilla_l4,"cuaca be like : sembarangan,jangan pitnah yee 🫵🙂‍↔️"
_renciaaa,"minta maaf doang, minimal kasih kompensasi lah Wak...Cemana bisa gak"
elvoujang0,singkat saja berapa ton itu yang lewat 😹😹
brewokgiovani,"wualah , permainan kls atas smunya .. ntar barang keluar atau barang masuk .. kaya gak tau Konoha aja"
anak.sholeh606,singkat saja berapa ton
tiaa.surbakti,gamau ah ga mood
repakenapanyak,[Stiker] kan aku ga bisa chatan+sleepcall sama my handshome si pak🥺🥺
kamelsyanypar,ditempat kami baru hidupppppp pak🤣
jylbesyt_990,hpku 3'nya lobet pak tapi yaudahlah kita maafin 😌😭
justyourself07,ngga perlu minta maaf yg penting Beri kami kompensasi dalam pembayaran listrik.
iihgfjjfxhc,mati lampu 2 hri pada 2024 kembali lagi?
xcvvvvvv5,lampung bukan Sumatra kah yai??
edukasi_iea,[Stiker] semoga yang di Sumatra tidak ada ganguan di sumatra
ardi35767,"gak apa apa pak kami maafin kami pun kalo g ad pak pln kami gak bisa apa apa tapi yg terpenting para tim pln udah berjuamg sampai hidup lampu kami pun berterima kasih atas perjuangan nyaterima kasih pln
HIDUP PLNNNNN....."
naranarendra02,[Stiker] aku yang lagi demam tinggi malah mati lampu ga nyaman tidur..
megaandresta47,aku bru bisa tidur jam 05.30 subuh.. 🥱🥱Capekk ngipasi anakk bayiku🤯
alex_gltm,"AGAK BAYANGIN AJA LAH YAA DIRUT PLN, KELEN ENAK² DISANA, KAMI DARI JAM 7 MALAM SAMPE SKRG UDH HAMPIR 24 JAM, HARUSNYA DI BENERIN SECEPATNYA BUKAN MALAH BIKIN KLARIF GAK PENTING."
jinniee_kimm,gara² mati lampu gajadi gwe jalan² 😭🥺
yantang3821,Tidak cukup klo PLN hanya MINTA MAAF. Berikan kompensasi dan gantirugi akibat kelalaian PLN yg menyebabkan kerugian kerusakan materi khusus nya di dapur dan bisnis yg tertunda…
woofysnoopy32,"lampu dah idop, jaringan gada oala’"
iwan.sinaga16,apa artinya dibuat tiang sutet itu klau gak bisa saling menutupi pembangkit listrik yg rusak dipropinsi lain.masa bisa satu pulau hampir padam
yp68587z,gimana sih PLN mau pus imo jga
putrapahlawan876,gara2 mati lampu wd sy gx masuk2 sampai saat ini..
andisiagian378,"maaf aj gak bisa bikin air jalan pak, mau cebok pun pening ini aduhh"
niarsrg26,MANA BUKTI PAS DILAPANGAN NYA ?????
razan.a.h10,10 ton atau 100 ton??
gry61236,SANTAI AMAT ??? INI KLARIFIKASI ATAU RAPAT DI SENAYAN YAA?????
tukangota6,Spbu sudah sering minta maaf tiap hari di sumatera. Sekarang PLN. Besok apalagi?
ik.r80,GAMAU DARI JAM 7 MALAM SAMPE JAM 1 SIANG BARU HIDUP🫠🫠
tiada.lagi68,jangan pln. di salahkan terus. coba aja. zaman dulu .ngak ada pln ..tetab.kita.mandi. itu nama. nya. dengan ada pln
igcloudsairaraa_,ga gamau maafin mles gmood
agiez167,ente cuma minta maaf bro kami ga bisa tidur
adalah_pokoknyaaaa29,"gak mauuu maaf kan ah, gara"" mati lampu, aku gak bisa sleep call sama cowok ku sblm tdr😒😏"
kecebadaiii808,"Apabila gak bisa bekerja dengan baik dan korup, silakan Bapak Dirut PLN bersama jajarannya mengundurkan diri dengan hormat."
aral.davista,"bilang aja ini politik pak, kalau nggak bisa memimpin mundur aja"
